No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
5,Mei,"12 754 659 043,69","41 543 644 059,26","11 613 585 485,00","11 452 923 855,00"
6,Juni,"13 514 101 879,06","40 886 554 950,92","12 978 091 752,00","12 789 548 820,00"
7,Juli,"11 465 779 764,41","40 908 711 754,63","10 081 863 504,00","9 777 959 395,00"
8,Agustus,"12 726 037 506,73","41 703 962 147,89","12 399 248 090,00","12 392 071 524,00"
9,September,"12 588 359 370,70","41 130 727 933,85","11 558 601 330,00","12 517 106 390,00"
10,Oktober,"12 121 740 572,30","43 492 324 675,64","11 108 916 259,00","11 725 231 343,00"
11,November,"11 122 182 554,30","41 572 222 679,35","11 519 468 515,00","12 396 999 154,00"
12,Desember,"11 917 112 381,72","42 889 680 221,37","12 077 298 548,00","13 890 623 811,00"
1,Januari,"14 472 289 332,00","49 154 384 703,00","14 916 227 693,00","11 590 996 964,00"
2,Februari,"14 634 090 390,00","43 416 241 019,00","13 790 661 990,00","10 640 029 636,00"
3,Maret,"15 192 634 701,00","49 294 958 689,00","14 523 719 412,00","11 439 923 450,00"
4,April,"14 292 472 554,00","45 541 731 344,00","16 254 976 317,00","13 005 419 405,00"
5,Mei,"14 823 602 661,00","47 417 633 575,00","14 770 336 777,00","12 197 088 101,00"
6,Juni,"15 409 451 765,00","44 989 016 798,00","15 697 742 441,00","12 811 352 690,00"
7,Juli,"14 124 129 298,00","43 624 537 982,00","14 081 710 235,00","11 541 376 167,00"
8,Agustus,"14 481 642 319,00","43 484 947 226,00","14 793 236 965,00","11 676 185 855,00"
9,September,"15 275 846 089,00","46 043 270 707,00","15 546 096 309,00","13 158 825 424,00"
10,Oktober,"15 292 759 010,00","43 705 129 574,00","15 327 994 527,00","13 184 342 220,00"
11,November,"13 544 729 209,00","46 182 204 245,00","14 041 608 394,00","12 258 277 415,00"
12,Desember,"14 436 339 660,00","46 611 395 610,00","14 434 652 028,00","14 230 519 275,00"
